EAN,Article Libellé Long,PAHT,PVC,PV Mag,TVA en %,Quantité vendue *,Stock en quantité,File_Index,Date,Month,Year,Year_Month,Buying Cost without Taxes,Buying Cost with Taxes,Revenue,Profit
8003340098425,BL LINDOR NOIR ASSORTI337,7.21999979019165,7.789999961853027,7.789999961853027,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340805306,337G CORNET LINDOR EDIT N,7.21999979019165,7.789999961853027,7.789999961853027,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8013108005763,165G NUXOR LAIT,5.96999979019165,6.550000190734863,6.550000190734863,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8013108006302,NUXOR ASSORTIS FA 165G,5.96999979019165,6.550000190734863,6.550000190734863,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8013108006630,NUXOR NOIR FA 165 G,5.96999979019165,6.550000190734863,6.550000190734863,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340091303,337G LINDT BOULES LINDOR,7.21999979019165,7.489999771118164,7.489999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340097275,LINDT BL.LINDOR ASS.200G,4.599999904632568,4.989999771118164,4.989999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340097305,337G LINDT CORN BL.ASS LI,7.21999979019165,7.190000057220459,7.190000057220459,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
4000539763984,LIND.OURS PULLS BLEU VERT,2.799999952316284,3.5899999141693115,3.5899999141693115,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
4000539764967,40G LINDT OURS LAIT,1.659999966621399,1.9900000095367432,1.9900000095367432,0.20000000298023224,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
