 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;1;6687;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;6,52;11,96;4,816493;0,3817221;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;1;6687;3,08092E+12; 3/4 ANANAS TRANCHE ; 3/4 ANANAS 10 TRANCHES ; ST MAMET ; SAINT MAMET DISTRIBU ;1,63;2,99;2,83;0,055;4; UVC ;6,52;11,96;4,816493;0,3817221;9;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;1;1181796;1;  ;  ;  ;  ;  ;  ;  ;  ;15;  ;17,55;30,75;11,59692;0,3574745;0;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;1;1181796;3,56007E+12; 3/4 ANANAS TRANCHE ; 3/4 ANANAS TRANCHE JUS CR ; CRF CLASS ; DEL MONTE FRANCE SAS ;1,17;2,05;1,94;0,055;15; UVC ;17,55;30,75;11,59692;0,3574745;0;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;1;4254440;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;3,18;4,17;0,7726066;0,1756184;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;1;4254440;3,56007E+12; 3/4 ANANAS EN TRAN ; 3/4 ANANAS EN TRAN SIR/LE ; SIMPL ; TL FOOD ;1,06;1,39;1,32;0,055;3; UVC ;3,18;4,17;0,7726066;0,1756184;16;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;2;1158244;1;  ;  ;  ;  ;  ;  ;  ;  ;7;  ;11,41;22,05;9,490474;0,4079687;23;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;2;1158244;3,08092E+12; 3/4 ANANAS MRCX ; 3/4 ANANAS MORCEAUX ; ST MAMET ; SAINT MAMET DISTRIBU ;1,63;3,15;2,99;0,055;7; UVC ;11,41;22,05;9,490474;0,4079687;23;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;2;4018487;1;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;4,08;8,37;3,853649;0,4364096;0;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;2;4018487;3,56007E+12; 4X70G COUPELLE ANA ; 4X70G COUPELLE ANAN  JUS ; CRF CLASS ; DEL MONTE FRANCE SAS ;1,36;2,79;2,64;0,055;3; UVC ;4,08;8,37;3,853649;0,4364096;0;  ;  ;
